# 由 scripts/generate-settings-group-mapping.mjs 生成；groupTitle 为设置页二级导航名称。可手改，勿改 seq。
seq,groupTitle,groupKey
1,设备接入与基础外设,device-integration-basics
2,叫号屏与显示策略,caller-screen-display
3,叫号屏与显示策略,caller-screen-display
4,叫号屏与显示策略,caller-screen-display
5,叫号屏与显示策略,caller-screen-display
6,叫号屏与显示策略,caller-screen-display
7,叫号屏与显示策略,caller-screen-display
8,结账与交互,cds-checkout-ux
9,小费与刷卡顺序,checkout-tip-card-order
10,客显屏,cds
11,设备接入与基础外设,device-integration-basics
12,等位排队规则,waitlist-queue-rules
13,等位排队规则,waitlist-queue-rules
14,等位排队规则,waitlist-queue-rules
15,设备接入与基础外设,device-integration-basics
16,礼品卡规则与参数,giftcard-rules
17,礼品卡规则与参数,giftcard-rules
18,礼品卡规则与参数,giftcard-rules
19,礼品卡规则与参数,giftcard-rules
20,库存管控规则,inventory-control-rules
21,库存管控规则,inventory-control-rules
22,库存管控规则,inventory-control-rules
23,采购与供应商,procurement-supplier
24,采购与供应商,procurement-supplier
25,采购与供应商,procurement-supplier
26,采购与供应商,procurement-supplier
27,采购与供应商,procurement-supplier
28,采购与供应商,procurement-supplier
29,支付手段与展示,payment-methods
30,登录注册与信息校验,login-verification
31,订单类型与取餐流程,order-type-pickup
32,厨房单分张,kitchen-ticket-issue
33,票面版式,ticket-format
34,打包单,packing-slip
35,票面信息,ticket-fields
36,送厨范围,kitchen-order-send
37,打印机分配,kitchen-printer-route
38,票面版式,ticket-format
39,打包单,packing-slip
40,菜品分区,ticket-grouping
41,票面版式,ticket-format
42,票面信息,ticket-fields
43,票面版式,ticket-format
44,票面版式,ticket-format
45,票面信息,ticket-fields
46,票面信息,ticket-fields
47,菜品分区,ticket-grouping
48,票面信息,ticket-fields
49,票面信息,ticket-fields
50,票面信息,ticket-fields
51,菜品分区,ticket-grouping
52,相同行合并,line-merge-rules
53,相同行合并,line-merge-rules
54,菜品分区,ticket-grouping
55,票面信息,ticket-fields
56,票面信息,ticket-fields
57,票面信息,ticket-fields
58,票面信息,ticket-fields
59,票面版式,ticket-format
